,13_PMUR-invitro.counts,14_PMUR-invitro.counts,15_PMUR-invitro.counts,16_PMUR-invitro.counts,17_PMUR-eSPF.counts,18_PMUR-eSPF.counts,19_PMUR-eSPF.counts,20_PMUR-eSPF.counts,21_PMUR-Conv.counts,22_PMUR-Conv.counts,23_PMUR-Conv.counts,24_PMUR-Conv.counts
PMUR_02421,-0.925439617386911,-0.86172246479788,-1.34376933144951,-1.04317600763744,1.02650948415182,0.910061719928536,-0.180324161558651,1.80823042225262,1.08388565009428,-0.182924604646274,-0.335677617360539,0.0443465284099424
PMUR_02422,-1.0677329286765,-1.03255808170502,-1.00359189211351,-0.991807465917044,1.25387589600377,0.905921636318313,-0.135643685479123,1.84613066432377,0.901593062818424,-0.333111375147308,-0.190396610541138,-0.152679219884649
PMUR_02423,-1.09857882262262,-1.11837082326405,-1.10161120238757,-1.1367062572493,1.49939298194736,1.0189482937092,0.245291790586555,1.46106618823483,0.610995025545541,-0.424458528461473,0.000150596689393342,0.043880757272137
PMUR_02424,-1.24775127397609,-1.28054888344868,-1.31173028528632,-1.32514860037773,0.955147435285153,0.748146683053874,0.406804954462506,1.32936516737636,0.791215967750023,0.264653888904192,0.307412977346731,0.362431968909974
PMUR_02425,-0.68282736136079,-1.06911468937827,-0.937405835753653,-0.975402036959111,1.65697321366762,0.886090754051095,0.677790160777821,1.57522445548918,-0.0500631839387701,-0.185995195134023,-1.01829183483205,0.12302155337095
PMUR_02426,1.46895090714676,1.12138882324444,1.32438385893515,1.18414677720991,-0.419856846744066,-0.951197157180945,-0.875048780406205,-0.249827073350485,-0.314905916508812,-0.980206619762807,-1.20351231636538,-0.104315656217571
PMUR_02427,-1.17108852281046,-1.23989113655018,-1.33052841666149,-1.34035166961625,1.06683368120577,1.05042625128882,0.809438367121673,1.14246255521396,0.422834179853087,0.0632422710172371,0.285432215134921,0.241190224802922
PMUR_02428,-1.27615439873096,-1.17083654182393,-1.33790677160305,-1.30856789912809,1.05744610599052,1.03860431772978,0.679974905434337,1.18523421005023,0.471672983030586,0.0413745835994989,0.405298058869075,0.213860446582015
PMUR_02429,-1.29926835283974,-1.40389848426179,-1.30263064735858,-1.20640738987733,0.990199952199252,0.938477708165581,0.56212690388242,1.13681989477371,0.617971080009946,0.308895800914904,0.441826891376417,0.215886643015214
PMUR_02430,-1.33651640176338,-1.23036810352747,-1.33890831222817,-1.27700258381884,1.01766388544408,0.902737037711216,0.482016788144889,1.20530994110805,0.649544779108894,0.253353376545485,0.456123653449297,0.216045939825955
PMUR_02431,-1.31423146913937,-1.25484849824379,-1.30107771763639,-1.24921979620854,1.01537993864129,0.924472198099264,0.33817941985569,1.27738835754963,0.771868931803525,0.275754399828915,0.321188170880346,0.195146064569429
